                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.407,                0.89043,                 1.3416,                0.85733,                0.81888,                 0.8854,                0.50732,                  1.464,                0.82392,                 1.3474,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3902,                 0.8814,                 1.3328,                0.87756,                0.80811,                0.89433,                0.52622,                 1.4194,                0.78232,                 1.3282,               0.001307,               0.001307,               0.001307
                     37,                  1.385,                0.86041,                 1.3242,                0.88085,                0.82622,                0.89643,                0.53309,                  1.392,                0.77295,                 1.3141,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3796,                 0.8663,                 1.3227,                0.85772,                0.82451,                0.89716,                0.52677,                 1.4149,                0.78238,                 1.3142,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3654,                0.86158,                 1.3122,                0.88428,                0.81961,                0.89733,                 0.5419,                   1.38,                0.74242,                 1.2986,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3649,                0.84773,                 1.3101,                0.88209,                0.83611,                0.89878,                0.52825,                 1.4167,                0.76588,                 1.3212,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.3571,                0.85256,                 1.3136,                0.91118,                0.82745,                0.90822,                0.54561,                  1.394,                0.72837,                 1.3313,               0.001208,               0.001208,               0.001208
                     42,                 1.3528,                0.82948,                 1.3063,                0.89536,                0.81275,                0.90558,                0.54439,                  1.377,                0.74611,                  1.311,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.3479,                0.82666,                 1.3005,                0.87319,                0.84314,                0.90145,                0.54319,                 1.3896,                0.74384,                 1.3047,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3452,                0.83221,                 1.3007,                0.90092,                0.82549,                0.91628,                0.54611,                  1.378,                 0.7357,                 1.3089,              0.0011486,              0.0011486,              0.0011486
                     45,                  1.329,                0.80246,                 1.2906,                0.89913,                0.83019,                0.91886,                0.53091,                 1.4438,                0.73878,                 1.3459,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.3269,                0.80645,                 1.2893,                0.91155,                0.83137,                 0.9134,                0.55274,                 1.3622,                0.72531,                 1.2868,               0.001109,               0.001109,               0.001109
                     47,                 1.3234,                0.81582,                 1.2885,                0.89785,                0.82724,                0.91287,                0.54924,                 1.3757,                0.69691,                 1.2951,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.3147,                 0.7978,                 1.2805,                0.88758,                0.83235,                0.91057,                0.55818,                 1.3639,                0.70459,                 1.2964,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.3014,                0.80003,                 1.2773,                0.91372,                0.82021,                 0.9129,                0.54257,                 1.4257,                0.71698,                 1.3282,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2994,                0.78517,                 1.2739,                 0.8956,                0.83235,                 0.9187,                0.56674,                 1.3469,                0.68291,                 1.2849,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.3004,                 0.7771,                 1.2682,                0.92053,                0.84034,                0.92538,                0.55956,                 1.3689,                0.67453,                 1.2882,                0.00101,                0.00101,                0.00101
                     52,                 1.3089,                0.78146,                 1.2749,                0.88918,                0.85882,                0.92579,                0.57052,                 1.3436,                0.67538,                 1.2784,              0.0009902,              0.0009902,              0.0009902
